Test Case ID,Test Scenario Description,Test Case Description,Pre-Conditions,Steps,Test Data,Expected Output,Actual Output,Status,Comments
TC_017,Verify tab switch on button click,"Verify that clicking the ""Flights"" button switches to the Flights tab and displays content","Homepage Url: https://phptravels.net/
","1. Click on url from the precoditions
2. User is on the Homepage
3. Verify that 'Flights' Button is displayes
4. Click on the button",N/A,"""Flights"" tab button should be clickable and switches to the flights tab",As expected,PASS,Functionality working correctly
TC_018,Verify button highlight on active state,"Check that the ""Flights"" button is visually highlighted when active","Homepage Url: https://phptravels.net/
","1. Click on the ""Flights"" button",N/A,"""Flights"" button is visually highlighted to show active state",As expected,PASS,Visual cue present
TC_019,Check keyboard accessibility,"Ensure the ""Flights"" button is accessible via keyboard and responds to Enter/Space keys","Homepage Url: https://phptravels.net/
","1. Open the url from the precondition
2. Use Tab to navigate to ""Flights"" button
3. Press Enter",N/A,"""Flights"" tab should activated and content displayed","""Flights"" tab is activated, but the enter key isn't working",FAIL,Keyboard accessibility not working — action not triggered
TC_020,Validate button label,"Check that the label of the button is correctly shown as ""Flights""","Homepage Url: https://phptravels.net/
","1. click fn+ f12 button
2. Inspect the label of the ""Flights"" button",N/A,"Label reads ""Flights""",As expected,PASS,Label is correct
TC_021,Check hover behavior,"Confirm that the ""Flights"" button changes appearance on hover","Homepage Url: https://phptravels.net/
","1. Move mouse pointer over ""Flights"" button",N/A,Button changes appearance to indicate interactivity, button looks same,FAIL,Hover effect isn't present
TC_022,Handle clicks during loading state,Ensure clicking during loading does not break UI,"Homepage Url: https://phptravels.net/
","1. Reload the page (Ctrl+R)
2. During loading, click on ""Hotels"" tab",N/A,UI remains stable and does not switch tabs unexpectedly," Tab should remain on ""Hotels"" even after loading completes",FAIL, User input (Hotels tab click) ignored during loading; UI auto-switches to Flights
TC_023,"Verify visibility of ""Flying From"" dropdown","Ensure that the ""Flying From"" dropdown is visible and accessible when the Flights section is opened","Homepage Url: https://phptravels.net/
","1. Navigate to the Flights booking section
2. Locate the ""Flying From"" dropdown
3. Verify its visibility",N/A,"""Flying From"" dropdown should be visible and interactable","""Flying From"" dropdown is displayed and clickable",PASS,Dropdown appeared as expected and was ready for user selection
TC_024,"Verify clickability of ""Flying From"" dropdown","Ensure that the ""Flying From"" dropdown can be clicked and displays available options","Homepage Url: https://phptravels.net/
","1. Navigate to the Flights section
2. Click on the ""Flying From"" dropdown",N/A,Dropdown should be clickable and should show a list of airports or locations,Dropdown was clickable and displayed the airport list,PASS,Dropdown behaved as expected when clicked
TC_025,"Verify available options in ""Flying From"" dropdown","Ensure that the ""Flying From"" dropdown contains the correct list of available departure cities","Homepage Url: https://phptravels.net/
","1. Navigate to the Flights section
2. Click on the ""Flying From"" dropdown
3. Verify the list of available cities shown",N/A,"The dropdown should show a complete and correct list of departure cities (e.g., London United Kingdom, etc.)",The list displayed all expected cities correctly,PASS,List of departure cities matched the expected data
TC_026,"Select a valid source in ""Flying From"" dropdown","Ensure that a valid departure city can be selected from the ""Flying From"" dropdown","Homepage Url: https://phptravels.net/
","1. Navigate to the Flights section
2. Click on ""Flying From"" dropdown
3. Select a valid city (e.g., London )
4. Verify the selection",N/A,The selected city should be highlighted/displayed as the current flying from location,London Heathrow Airport is dispaly,PASS,Valid source selection works as expected
TC_027,Verify city search functionality in dropdown,"Ensure that typing in the ""Flying From"" dropdown filters the list of available cities","Homepage Url: https://phptravels.net/
","1. Login to the application2. Navigate to the Flights section3. Click on the ""Flying From"" dropdown4. Type a city name (e.g., ""Del"") in the search box5. Observe the filtered results","Input = ""Del""","The dropdown should display matching cities (e.g., Delhi, Dehradun) based on input",Matching cities were filtered and shown correctly,PASS,Search function worked accurately and responsively
TC_028,"Verify clear/reset functionality in ""Flying From"" dropdown",Ensure that selected city is cleared when the user clicks the clear or reset button,"Homepage Url: https://phptravels.net/
","1. Login to the application2. Navigate to the Flights section3. Select a city from the ""Flying From"" dropdown4. Click the clear/reset button5. Verify the dropdown is cleared","Selected city = ""Delhi""","The ""Flying From"" dropdown should reset to its default state (e.g., no city selected or placeholder text)",Dropdown was cleared successfully and returned to default state,PASS,Clear/reset functionality worked as expected
TC_029,Verify availability of trip type options,"Ensure that both ""One-Way"" and ""Round-Trip"" options are available for flight booking","Homepage Url: https://phptravels.net/
","1. Login to the application2. Navigate to the Flights booking section3. Locate the trip type options4. Verify that both ""One-Way"" and ""Round-Trip"" are visible and selectable",N/A,"Both ""One-Way"" and ""Round-Trip"" options should be visible and user-selectable",Both options were visible and selectable,PASS,Trip type options displayed correctly
TC_030,"Prevent selection of same city in both ""From"" and ""To"" fields","Ensure that the user cannot select the same city in both ""Flying From"" and ""Flying To"" dropdowns","Homepage Url: https://phptravels.net/
","1. Login to the application2. Navigate to the Flights booking section3. Select a city in the ""Flying From"" dropdown (e.g., Delhi)4. Try selecting the same city in the ""Flying To"" dropdown","City = ""Delhi""","App should prevent selecting the same city in both fields, either by disabling the option or showing a validation message",Same city selection isn't restricted,FAIL,App correctly restricted same city selection
TC_031,Visibility of Destination Dropdown,"Verify that the ""To"" field is visible on the Flights page","Homepage Url: https://phptravels.net/
"," 1. Navigate to ""Flights"" tab on homepage.
2. Observe if the ""To"" field is visible.",N/A,"""To"" field should be visible",As expected,PASS,UI field check
TC_032,Clickability,"Verify that the ""To"" field is clickable","Homepage Url: https://phptravels.net/
"," 1. Open browser and navigate to https://phptravels.net/.
2. Click on the ""Flights"" tab to open the flight booking section.
3. Locate the ""To"" input field.
4. Click on the ""To"" input field.
5. Observe if the dropdown list of destinations appears.
6. Attempt to scroll or select one destination from the dropdown list.",N/A,Dropdown list should appear,Dropdown appeared successfully,PASS,-
TC_033,Search Functionality,Search for a city in the dropdown,"Homepage Url: https://phptravels.net/
"," 1. Open browser and navigate to https://phptravels.net/.
2. Click on the ""Flights"" tab.
3. Click on the ""To"" input field.
4. Type ""Dubai"" in the ""To"" field.
5. Observe the dropdown list filter based on typed text.
6. Verify that ""Dubai"" appears as a selectable option.","""Dubai""",City option should appear in list," City option ""Dubai"" displayed successfully",PASS,-
TC_034,Selection Functionality,Select a valid destination city,Homepage URL: https://phptravels.net/,"1. Open browser and navigate to https://phptravels.net/.2. Click on the ""Flights"" tab.3. Click on the ""To"" field.4. Type ""London"".5. From the dropdown list, click on ""London"".6. Verify that ""London"" is populated in the ""To"" field.",London,"""London"" should be selected and displayed in the field.","""London"" is selected and displayed correctly in the field.",PASS,-
TC_035,Input Reset,Clear the destination field,Homepage URL: https://phptravels.net/,"1. Open browser and navigate to https://phptravels.net/.2. Click on the ""Flights"" tab.3. Click on the ""To"" input field.4. Type any city name (e.g., ""Paris"").5. Use backspace or delete keys to clear the input field.6. Verify that the ""To"" field is empty after clearing.",N/A,Field should be cleared and empty.,"""To"" field is cleared and is empty after deleting input.",PASS,-
TC_036,Same Source and Destination,Select same city as source and destination,Homepage URL: https://phptravels.net/,"1. Open browser and navigate to https://phptravels.net/.2. Click on the ""Flights"" tab.3. Select ""Delhi"" in the ""From"" field.4. Click on the ""To"" field and select ""Delhi"".5. Verify if an error message appears or if selection is prevented.6. Confirm appropriate validation or error behavior.",Delhi,Show error message or prevent selecting same city as source and destination.,Error message is shown preventing same city selection.,PASS,Validation working
