Test Case ID,Test Scenario Description,Test Case Description,Pre-Conditions,Steps,Test Data,Expected Output,Actual Output,Status,Comments
TS_089,Tab Visibility,"Verify ""Hotel"" tab is visible",Homepage Url: https://phptravels.net/,1. Open homepage.2. Observe main search tab section.,N/A,Hotel tab visible next to Flights tab,Hotel tab visible,Pass,UI check
TS_090,Tab Click Action,"Verify clicking ""Hotel"" opens hotel form",Homepage Url: https://phptravels.net/,"1. Click the ""Hotel"" tab.2. Observe page content changes.",N/A,Hotel search form appears,Hotel search form appears,Pass,Functional
TS_091,Default Focus,Verify default input focus when tab opens,Homepage Url: https://phptravels.net/,"1. Click ""Hotel"" tab.2. Observe cursor focus on input fields.",N/A,"Cursor focused in ""City, Hotel or Location"" field",Cursor correctly focused,Pass,UX behavior
TS_092,Check-in Field Visible,Verify Check-in date field visibility,Homepage Url: https://phptravels.net/,"1. Click ""Hotel"" tab.2. Look for Check-in date field.",N/A,Check-in date field visible,Check-in field visible,Pass,UI check
TS_093,Check-out Field Visible,Verify Check-out date field visibility,Homepage Url: https://phptravels.net/,"1. Click ""Hotel"" tab.2. Look for Check-out date field.",N/A,Check-out date field visible,Check-out field visible,Pass,UI check
TS_094,Travellers Dropdown,Verify travellers dropdown visibility,Homepage Url: https://phptravels.net/,"1. Click on travellers input field.2. Check dropdown shows Adults, Children options.",N/A,Dropdown for adults and children appears,Dropdown appears,Pass,Functional
TS_095,Search with Valid Inputs,Search hotels with valid input,Homepage Url: https://phptravels.net/,"1. Enter ""Delhi"" in location.2. Select check-in 20 May, check-out 25 May.3. Select 2 Adults.4. Click Search.","Delhi, 20 May – 25 May, 2 Adults",Hotel search results displayed,Results displayed,Pass,Core functionality
TS_096,Search Without Destination,Search without entering location,Homepage Url: https://phptravels.net/,1. Leave location empty.2. Click Search.,Empty location,Error or warning shown,Validation message shown,Pass,Input validation
TS_097,Past Check-in Date,Enter a past date as check-in,Homepage Url: https://phptravels.net/,1. Set check-in date to 10 Jan 2023.2. Click Search.,10 Jan 2023,Error shown or date restricted,Error shown,Pass,Validation
TS_098,Check-out Before Check-in,Set check-out date before check-in date,Homepage Url: https://phptravels.net/,1. Set check-in date after check-out date.2. Click Search.,Invalid date range,Error or warning shown,Validation message shown,Pass,Logical validation
TS_099,Summary Label,Check summary label updates based on travellers,Homepage Url: https://phptravels.net/,"1. Open travellers dropdown2. Select 2 Adults, 1 Child3. Close dropdown","2 Adults, 1 Child","Label shows ""3 Guests, 1 Room"" or similar",Label updates correctly,Pass,Functional
TS_100,Field Visibility,"Verify ""City, Hotel, or Location"" input is visible",Homepage Url: https://phptravels.net/,1. Observe location input field,N/A,Location input visible,Field visible,Pass,UI
TS_101,Placeholder Text,Verify placeholder text in location input,Homepage Url: https://phptravels.net/,1. Observe text inside location input field,N/A,"Placeholder: ""City, Hotel or Location""",Placeholder correct,Pass,UX check
TS_102,Typing in Field,Verify user can type in location field,Homepage Url: https://phptravels.net/,1. Type city/hotel name,Delhi,Text appears in field,Text appears,Pass,Functional
TS_103,Dropdown Appears on Typing,Verify dropdown suggestions appear on typing,Homepage Url: https://phptravels.net/,"1. Type ""Del""",Del,Matching suggestions appear,Suggestions shown,Pass,Functional
TS_104,Select from Dropdown,Verify user can select a suggestion,Homepage Url: https://phptravels.net/,"1. Click on suggestion ""Delhi""",Delhi,Field filled with selected value,Selection works,Pass,Functional
TS_105,Valid Location Search,Verify form submits with valid location,Homepage Url: https://phptravels.net/,"1. Enter ""Mumbai""2. Click Search",Mumbai,Hotel results displayed,Results displayed,Pass,Functional
TS_106,Invalid Location Entry,Enter random text not in suggestion list,Homepage Url: https://phptravels.net/,"1. Type ""abcxyz123""",abcxyz123,No suggestions or error shown,Validation message shown,Pass,Validation
TS_107,Blank Location Search,Leave location empty and try searching,Homepage Url: https://phptravels.net/,1. Leave location blank2. Click Search,Blank,Search blocked or error shown,Validation message,Pass,Validation
TS_108,Copy-Paste Location,Paste a location into field,Homepage Url: https://phptravels.net/,"1. Paste ""Dubai""",Dubai,Field accepts and recognizes input,Paste accepted,Pass,UX behavior
TS_109,Keyboard Navigation,Navigate suggestions with arrow keys,Homepage Url: https://phptravels.net/,"1. Type ""Delhi""2. Use arrow keys to navigate3. Press Enter",Delhi,Selected location fills field,Keyboard navigation works,Pass,Accessibility
TS_110,Calendar Field Visible,Verify Check-in date field visibility,Homepage Url: https://phptravels.net/,1. Locate Check-in date field,N/A,Calendar field visible,Field visible,Pass,UI check
TS_111,Open Calendar,Verify calendar opens when clicking field,Homepage Url: https://phptravels.net/,1. Click Check-in date field,N/A,Calendar dropdown opens,Calendar opens,Pass,Functional
TS_112,Calendar Alignment,Verify calendar popup alignment,Homepage Url: https://phptravels.net/,1. Observe calendar popup position,N/A,Calendar does not overlap UI,Proper alignment,Pass,UI/UX check
TS_113,Current Date Highlighted,Verify today's date is highlighted,Homepage Url: https://phptravels.net/,1. Observe calendar for today's date,System date = 18 May,Today’s date visually highlighted,Highlight correct,Pass,UI consistency
TS_114,Select a Valid Date,Select future date as check-in,Homepage Url: https://phptravels.net/,1. Click Check-in field2. Select 25 May,25 May,Date shown in input field,Date selected,Pass,Functional
TS_115,Select Today,Select today’s date as check-in,Homepage Url: https://phptravels.net/,1. Click Check-in field2. Select today (18 May),18 May,Today’s date selected,Date selected,Pass,Functional
